A0,A1,A2,A3
8.581,8.562,8.502,8.459
8.591,8.544,8.511,8.445
8.614,8.539,8.492,8.398
8.619,8.539,8.459,8.441
8.614,8.544,8.516,8.375
8.595,8.553,8.492,8.45
8.605,8.553,8.525,8.436
8.6,8.544,8.506,8.464
8.619,8.539,8.487,8.426
8.591,8.558,8.497,8.426
8.591,8.525,8.516,8.403
8.6,8.553,8.511,8.366
8.619,8.53,8.52,8.473
8.605,8.562,8.473,8.426
8.595,8.553,8.53,8.436
8.614,8.558,8.525,8.426
8.638,8.586,8.487,8.492
8.619,8.558,8.459,8.459
8.591,8.544,8.502,8.464
8.614,8.534,8.511,8.412
8.586,8.558,8.511,8.412
8.614,8.558,8.511,8.45
8.586,8.544,8.497,8.464
8.591,8.539,8.492,8.422
8.609,8.539,8.52,8.45
8.562,8.548,8.525,8.441
8.609,8.548,8.506,8.422
8.586,8.534,8.516,8.487
8.577,8.52,8.534,8.37
8.614,8.534,8.511,8.455
8.591,8.553,8.506,8.431
8.6,8.548,8.497,8.459
8.567,8.52,8.534,8.445
8.614,8.558,8.511,8.436
8.628,8.525,8.497,8.417
8.591,8.525,8.52,8.45
8.577,8.53,8.511,8.459
8.605,8.544,8.502,8.441
8.577,8.539,8.487,8.408
8.586,8.548,8.511,8.473
8.614,8.562,8.478,8.431
8.577,8.53,8.455,8.426
8.581,8.525,8.525,8.52
8.6,8.548,8.534,8.497
8.623,8.558,8.502,8.408
8.6,8.562,8.497,8.426
8.577,8.539,8.502,8.492
8.572,8.539,8.511,8.459
8.595,8.544,8.502,8.403
8.595,8.525,8.506,8.473
8.581,8.53,8.502,8.445
8.595,8.53,8.516,8.469
8.605,8.544,8.52,8.455
8.572,8.516,8.492,8.497
8.581,8.544,8.502,8.403
8.591,8.52,8.492,8.478
8.609,8.492,8.483,8.422
8.595,8.506,8.511,8.469
8.605,8.544,8.492,8.497
8.623,8.516,8.52,8.403
8.558,8.548,8.502,8.464
8.619,8.544,8.511,8.445
8.605,8.52,8.52,8.487
8.623,8.534,8.52,8.436
8.591,8.511,8.502,8.469
8.605,8.534,8.511,8.408
8.586,8.53,8.511,8.45
8.609,8.52,8.525,8.441
8.595,8.525,8.487,8.445
8.586,8.52,8.52,8.469
8.591,8.558,8.511,8.441
8.6,8.539,8.478,8.511
8.591,8.539,8.506,8.422
8.6,8.534,8.53,8.441
8.6,8.544,8.511,8.441
8.595,8.553,8.497,8.45
8.572,8.53,8.525,8.459
8.591,8.53,8.516,8.455
8.6,8.52,8.483,8.441
8.595,8.511,8.511,8.426
8.605,8.544,8.502,8.445
8.591,8.53,8.548,8.426
8.595,8.558,8.502,8.459
8.595,8.534,8.478,8.45
8.6,8.544,8.483,8.469
8.623,8.562,8.492,8.469
8.6,8.544,8.506,8.417
8.595,8.558,8.511,8.441
8.623,8.577,8.506,8.441
8.586,8.534,8.502,8.403
8.6,8.544,8.548,8.441
8.558,8.581,8.516,8.389
8.562,8.539,8.506,8.445
8.591,8.539,8.53,8.408
8.567,8.567,8.516,8.455
8.553,8.539,8.52,8.398
8.577,8.548,8.539,8.455
8.567,8.539,8.525,8.426
8.581,8.53,8.492,8.445
8.619,8.534,8.525,8.459
8.572,8.525,8.511,8.412
8.605,8.539,8.539,8.398
8.572,8.53,8.497,8.389
8.628,8.525,8.52,8.426
8.6,8.539,8.487,8.422
8.605,8.539,8.516,8.459
8.628,8.558,8.492,8.455
8.572,8.562,8.53,8.436
