A0,A1,A2,A3
23.606,23.592,23.535,23.474
23.667,23.596,23.55,23.489
23.643,23.578,23.55,23.498
23.643,23.582,23.54,23.512
23.643,23.564,23.564,23.484
23.657,23.564,23.573,23.531
23.657,23.554,23.531,23.503
23.7,23.615,23.587,23.531
23.695,23.606,23.601,23.493
23.7,23.606,23.559,23.484
23.634,23.592,23.578,23.484
23.676,23.582,23.554,23.451
23.676,23.592,23.573,23.517
23.657,23.592,23.55,23.521
23.686,23.564,23.521,23.484
23.662,23.587,23.568,23.521
23.671,23.568,23.578,23.498
23.695,23.573,23.582,23.55
23.686,23.601,23.573,23.517
23.671,23.601,0.0,23.503
23.648,23.592,23.554,23.526
23.634,23.573,23.55,23.479
23.639,23.587,23.512,23.484
23.653,23.568,23.554,23.526
23.695,23.587,23.573,23.493
23.653,23.601,23.554,23.512
23.667,23.596,23.564,23.489
23.643,23.601,23.55,23.474
23.606,23.578,23.564,23.507
23.662,23.601,23.559,23.517
23.653,23.578,23.554,23.503
23.676,23.582,23.582,23.507
23.681,23.582,23.568,23.507
23.671,23.582,23.526,23.517
23.653,23.578,23.554,23.517
23.643,23.587,23.55,23.484
23.695,23.601,23.517,23.521
23.686,23.554,23.559,23.568
23.662,23.578,23.526,23.503
23.648,23.545,23.578,23.517
23.686,23.564,23.55,23.484
23.681,23.568,23.564,23.484
23.648,23.582,23.559,23.507
23.667,23.568,23.559,23.465
23.643,23.587,23.568,23.512
23.648,23.568,23.559,23.474
23.681,23.587,23.568,23.484
23.667,23.606,23.545,23.489
23.671,23.596,23.587,23.517
23.69,23.587,23.535,23.521
23.662,23.573,23.564,23.493
23.681,23.582,23.568,23.503
23.653,23.587,23.535,23.479
23.667,23.61,23.54,23.484
23.657,23.578,23.559,23.484
23.667,23.592,23.545,23.484
23.7,23.592,23.559,23.535
23.648,23.568,23.578,23.507
23.657,23.573,23.559,23.535
23.657,23.573,23.587,23.503
23.671,23.592,23.554,23.526
23.667,23.564,23.554,23.512
23.653,23.573,23.554,23.512
23.676,23.601,23.545,23.489
23.657,23.596,23.592,23.484
23.643,23.582,23.582,23.535
23.686,23.554,23.545,23.493
23.639,23.596,23.564,23.521
23.634,23.587,23.573,23.493
23.643,23.592,23.578,23.521
23.681,23.582,23.573,23.479
23.671,23.592,23.573,23.489
23.676,23.55,23.545,23.456
23.681,23.587,23.568,23.493
23.681,23.568,23.564,23.489
23.657,23.606,23.573,23.517
23.667,23.568,23.559,23.531
23.704,23.592,23.564,23.503
23.657,23.568,23.587,23.489
23.676,23.596,23.55,23.512
23.686,23.564,23.564,23.493
