A0,A1,A2,A3
5.615,5.522,5.568,5.461
5.615,5.512,5.55,5.512
5.629,5.54,5.568,5.493
5.629,5.522,5.554,5.461
5.568,5.526,5.536,5.47
5.606,5.531,5.512,5.456
5.62,5.522,5.559,5.447
5.625,5.503,5.568,5.498
5.597,5.559,5.554,0.0
5.639,5.522,5.564,5.475
5.615,5.545,5.512,5.465
5.611,5.479,5.55,5.479
5.634,5.536,5.545,5.484
5.615,5.493,5.526,5.461
5.611,5.517,5.55,5.465
5.615,5.554,5.531,5.456
5.601,5.507,5.568,5.47
5.62,5.531,5.573,5.507
5.625,5.507,5.54,5.503
5.634,5.526,5.545,5.517
5.625,5.493,5.545,5.493
5.625,5.517,5.545,5.545
5.639,5.484,5.55,5.512
5.573,5.512,5.559,5.493
5.611,5.498,5.564,5.456
5.592,5.517,5.554,5.517
5.629,5.531,5.531,5.479
5.606,5.536,5.498,5.507
5.634,5.484,5.55,5.498
5.601,5.503,5.559,5.498
5.583,5.517,5.564,5.484
5.62,5.526,5.554,5.526
5.615,5.517,5.578,5.493
5.634,5.512,5.559,5.503
5.625,5.526,5.545,5.498
5.644,5.517,5.54,5.498
5.62,5.554,5.536,5.526
5.629,5.493,5.583,5.475
5.606,5.522,5.55,5.536
5.615,5.559,5.531,5.498
5.615,5.526,5.55,5.479
5.597,5.493,5.531,5.489
5.601,5.503,5.536,5.498
5.611,5.512,5.597,5.479
5.611,5.522,5.606,5.451
5.648,5.517,5.536,5.503
5.629,5.54,5.578,5.47
5.592,5.503,5.545,5.489
5.601,5.489,5.54,5.465
5.583,5.493,5.55,5.475
5.615,5.54,5.583,5.503
5.634,5.522,5.554,5.512
5.611,5.512,5.55,5.522
5.578,5.54,5.536,5.479
5.615,5.507,5.517,5.503
5.587,5.517,5.559,5.489
5.611,5.522,5.536,5.493
5.611,5.507,5.554,5.507
5.644,5.493,5.554,5.507
5.606,5.489,5.568,5.503
5.611,5.507,5.536,5.522
5.601,5.498,5.583,5.47
5.583,5.526,5.559,5.456
5.583,5.489,5.554,5.503
5.573,5.493,5.573,5.498
5.62,5.531,5.573,5.489
5.639,5.507,5.583,5.522
5.62,5.498,5.573,5.493
5.639,5.522,5.597,5.498
5.639,5.503,5.545,5.507
5.644,5.489,5.564,5.493
5.611,5.536,5.583,5.512
5.611,5.507,5.564,5.475
5.587,5.531,5.564,5.493
5.587,5.503,5.559,5.475
5.625,5.526,5.54,5.475
5.634,5.526,5.55,5.507
5.662,5.531,5.526,5.493
5.644,5.493,5.545,5.489
5.611,5.531,5.531,5.493
5.648,5.512,5.55,5.493
5.606,5.554,5.559,5.531
5.62,5.517,5.568,5.489
5.625,5.507,5.568,5.503
5.615,5.503,5.554,5.503
5.625,5.503,5.559,5.493
5.634,5.503,5.55,5.493
5.615,5.484,5.545,5.479
5.62,5.484,5.526,5.489
5.625,5.503,5.512,5.475
5.648,5.531,5.559,5.498
5.606,5.507,5.54,5.498
5.634,5.522,5.512,5.503
5.601,5.507,5.55,5.489
5.629,5.498,5.54,5.489
5.648,5.484,5.536,5.489
5.606,5.526,5.583,5.507
5.615,5.498,5.507,5.475
5.625,5.526,5.54,5.489
5.606,5.54,5.526,5.503
5.587,5.507,5.536,5.475
5.587,5.503,5.531,5.47
5.597,5.503,5.536,5.451
