A0,A1,A2,A3
2.637,2.637,2.618,2.524
2.66,2.632,2.623,2.543
2.646,2.618,2.59,2.557
2.669,2.623,2.623,2.524
2.618,2.576,2.599,2.524
2.641,2.613,2.59,2.519
2.669,2.637,2.608,2.548
2.669,2.623,2.608,2.505
2.655,2.632,2.566,2.562
2.641,2.613,2.571,2.524
2.66,2.604,2.594,2.515
2.613,2.641,2.59,2.491
2.669,2.585,2.566,2.51
2.637,2.608,2.604,2.529
2.665,2.59,2.557,2.468
2.632,2.618,2.599,2.519
2.623,2.608,2.613,2.515
2.641,2.637,2.585,2.487
2.637,2.608,2.585,2.519
2.651,2.637,2.571,2.505
2.623,2.608,2.608,2.533
2.646,2.641,2.608,0.0
2.66,2.632,2.641,0.0
2.646,2.632,2.529,2.548
2.641,2.604,2.552,2.51
2.646,2.618,2.599,2.571
2.651,2.623,2.604,2.538
2.66,2.627,2.585,2.51
2.651,2.613,2.529,2.543
2.646,2.608,2.562,2.515
2.665,2.623,2.632,2.618
2.66,2.618,2.566,2.548
2.651,2.618,2.533,2.524
2.646,2.637,2.538,2.51
2.627,2.646,2.58,2.557
2.669,2.618,2.548,2.58
2.646,2.632,2.529,2.538
2.623,2.632,2.505,2.557
2.669,2.632,2.566,2.519
2.627,2.608,2.571,2.533
2.655,2.627,2.571,2.529
2.665,2.599,2.566,2.515
2.637,2.627,2.529,2.505
2.66,2.618,2.552,2.51
2.651,2.627,2.604,2.538
2.651,2.562,2.58,2.548
2.613,2.627,2.599,2.524
2.632,2.571,2.566,2.557
2.637,2.576,2.585,2.515
2.618,2.637,2.59,2.538
2.637,2.576,2.59,2.515
2.646,2.59,2.571,2.552
2.651,2.623,2.552,2.487
2.641,2.618,2.548,2.519
2.623,2.66,2.618,2.688
2.637,2.664,2.618,2.655
2.599,2.632,2.576,2.533
2.618,2.585,2.566,2.519
2.651,2.594,2.576,2.51
2.623,2.641,2.552,2.548
2.669,2.58,2.58,2.548
2.608,2.599,2.571,2.557
2.669,2.608,2.59,2.543
2.655,2.608,2.557,2.524
2.655,2.599,2.594,2.543
2.66,2.576,2.571,2.576
2.637,2.599,2.58,2.557
2.651,2.608,2.571,2.543
2.646,2.608,2.576,2.51
2.623,2.608,2.58,2.562
2.664,2.632,2.59,2.519
2.646,2.627,2.59,2.59
2.651,2.618,2.538,2.543
2.646,2.623,2.571,2.576
2.632,0.0,0.0,0.0
2.646,2.646,2.585,2.552
2.651,2.599,2.571,2.529
2.646,2.618,2.59,2.496
2.664,2.637,2.571,2.533
2.66,2.632,2.608,2.557
2.641,2.627,2.557,2.515
2.632,2.599,2.604,2.59
2.651,2.623,2.604,2.491
2.655,2.618,2.627,2.538
2.646,2.608,2.585,2.505
2.651,2.608,2.594,2.515
2.637,2.637,2.59,2.501
2.646,2.608,2.571,2.51
2.641,2.604,2.599,2.524
2.66,2.613,2.608,2.552
2.641,2.594,2.618,2.576
2.66,2.627,2.608,2.51
2.646,2.627,2.585,2.501
2.669,2.627,2.594,2.496
2.674,2.627,2.599,2.519
2.669,2.651,2.623,2.552
2.66,2.613,2.608,2.482
2.669,2.585,2.623,2.548
2.651,2.608,2.599,2.515
2.669,2.608,2.604,2.491
2.669,2.646,2.613,2.496
2.669,2.669,2.608,2.487
2.632,2.594,2.618,2.557
2.632,2.59,2.59,2.538
2.646,2.604,2.604,2.524
2.665,2.608,2.594,2.529
2.637,2.58,2.613,2.557
2.623,2.618,2.566,2.519
2.637,2.641,2.594,2.557
2.665,2.604,2.58,2.543
2.641,2.637,2.59,2.472
2.641,2.585,2.627,2.529
2.632,2.632,2.585,2.571
2.655,2.623,2.585,2.505
2.651,2.613,2.524,2.51
2.641,2.604,2.637,2.533
2.641,2.608,2.641,2.519
2.651,2.608,2.618,2.501
2.627,2.651,2.566,2.505
2.66,2.618,2.557,2.487
2.637,2.627,2.655,2.463
2.683,2.641,2.594,2.468
2.623,2.632,2.59,2.524
2.669,2.618,2.552,2.482
2.651,2.641,2.58,2.533
2.665,2.646,2.562,2.491
2.623,2.618,2.632,2.496
2.608,2.632,2.623,2.519
2.637,2.651,2.627,2.496
2.651,2.613,2.623,2.538
2.623,2.627,2.604,2.533
2.655,2.646,2.608,2.557
2.66,2.637,2.632,2.538
2.637,2.641,2.618,2.482
2.669,2.646,2.613,2.533
2.618,2.627,2.576,2.501
2.651,2.608,2.618,2.487
2.637,2.651,2.58,2.468
2.655,2.646,2.613,2.496
