A0,A1,A2,A3
6.173,6.013,0,5.896
6.098,6.004,0,5.957
6.103,6.065,0,5.92
6.112,6.018,0,5.924
6.14,6.196,0,5.896
6.065,6.154,0,5.957
6.126,6.117,0,5.906
6.088,6.037,0,5.924
6.131,6.056,0,5.896
6.135,5.99,0,5.92
6.145,6.018,0,5.924
6.107,6.004,0,5.929
6.117,6.004,0,5.924
6.149,6.004,0,5.924
6.121,5.999,0,5.91
6.126,5.999,0,5.929
6.079,6.06,0,5.952
6.084,6.112,0,5.887
6.088,6.06,0,5.915
6.112,6.065,0,5.877
6.135,6.027,0,5.91
6.079,6.009,0,5.868
6.126,6.004,0,5.91
6.154,5.995,0,5.915
6.206,6.004,0,5.887
6.112,6.056,0,5.91
6.121,6.042,0,5.92
6.079,6.051,0,5.971
6.07,6.093,0,5.976
6.046,6.056,0,5.967
6.042,6.332,0,5.938
6.051,5.629,0,6.098
5.999,6.187,0,6.201
6.018,5.84,0,5.822
6.098,5.948,0,6.013
6.042,6.074,0,5.985
6.112,6.309,0,6.426
6.06,5.995,0,6.018
6.046,6.159,0,6.004
6.098,6.21,0,5.967
6.07,6.21,0,6.032
6.084,6.248,0,5.99
6.056,6.215,0,6.056
6.074,6.229,0,6.004
6.112,5.747,0,5.948
6.107,6.229,0,6.042
6.074,6.257,0,6.042
6.131,5.695,0,6.027
6.084,6.281,0,6.037
6.093,6.271,0,6.032
6.074,6.187,0,6.013
6.117,6.304,0,6.056
6.103,6.065,0,6.009
6.051,6.267,0,6.042
6.06,6.027,0,6.023
6.112,6.173,0,6.032
6.06,6.22,0,6.065
6.065,6.21,0,6.046
6.07,6.215,0,6.042
6.093,5.901,0,6.042
6.088,5.995,0,6.084
6.131,6.243,0,6.018
6.196,6.276,0,6.009
6.121,6.281,0,6.131
6.112,6.276,0,6.065
6.103,6.281,0,6.088
6.107,6.332,0,6.023
6.103,6.037,0,6.06
6.046,6.154,0,6.009
6.023,5.817,0,6.121
6.046,5.971,0,5.985
6.112,5.967,0,5.957
6.023,5.723,0,6.248
6.018,5.789,0,6.632
5.971,6.126,0,5.92
5.985,6.295,0,6.009
5.995,6.355,0,6.018
6.051,6.374,0,6.018
5.976,6.487,0,6.004
6.023,6.449,0,6.013
5.952,6.079,0,6.285
5.985,5.742,0,6.07
6.046,5.896,0,5.995
6.056,5.967,0,5.938
6.06,5.976,0,5.981
6.079,5.948,0,5.967
6.107,6.14,0,5.948
6.103,6.131,0,5.91
6.032,5.69,0,6.168
6.112,5.789,0,6.088
6.07,5.676,0,6.187
6.06,5.667,0,5.836
6.032,5.686,0,5.817
5.971,6.117,0,5.84
6.07,5.728,0,5.817
6.074,5.672,0,6.304
6.173,5.891,0,5.822
6.159,6.566,0,5.803
6.281,6.449,0,5.873
6.037,6.491,0,6.004
6.135,6.618,0,5.896
6.14,6.018,0,5.948
6.135,5.938,0,5.985
6.135,6.285,0,5.868
6.084,6.454,0,5.845
6.023,6.618,0,5.887
5.976,6.253,0,5.948
6.06,6.538,0,5.882
5.981,6.397,0,5.836
5.976,6.43,0,5.84
5.957,6.037,0,5.938
6.088,5.62,0,5.798
6.027,5.653,0,5.756
6.046,5.78,0,6.618
6.135,5.742,0,6.14
5.995,6.018,0,5.592
6.037,6.009,0,5.733
6.023,5.667,0,5.831
6.027,5.69,0,5.629
5.948,5.723,0,6.196
6.004,5.77,0,6.566
5.967,5.686,0,5.784
5.99,5.873,0,6.154
6.07,5.845,0,6.107
6.149,5.77,0,6.121
6.112,5.854,0,6.149
6.159,5.695,0,6.135
6.093,6.042,0,6.084
6.117,5.887,0,6.088
6.032,5.962,0,6.079
6.135,5.742,0,5.863
6.037,5.761,0,5.934
6.046,5.747,0,5.854
5.962,5.808,0,6.037
5.934,5.995,0,5.891
6.056,6.074,0,5.859
6.107,6.117,0,5.981
6.164,6.07,0,5.952
6.093,6.224,0,5.957
6.037,5.934,0,5.967
6.084,6.173,0,5.915
6.093,5.733,0,6.393
6.112,6.168,0,5.929
6.032,5.891,0,5.873
6.103,5.597,0,5.742
6.065,5.615,0,5.709
6.027,5.639,0,5.653
5.99,5.985,0,5.859
6.013,5.854,0,5.91
