A0,A1,A2,A3
16.554,16.554,16.582,16.516
16.681,16.54,16.587,16.502
16.643,16.568,16.582,16.512
16.662,16.535,16.592,16.526
16.615,16.531,16.573,16.535
16.563,16.573,16.582,16.502
16.62,16.559,16.563,16.507
16.643,16.526,16.606,16.516
16.629,16.568,16.577,16.507
16.563,16.568,16.568,16.498
16.606,16.559,16.577,16.507
16.62,16.549,16.592,16.521
16.587,16.545,16.573,16.507
16.643,16.559,16.615,16.488
16.624,16.54,16.573,16.526
16.643,16.592,16.587,16.493
16.573,16.563,16.587,16.521
16.648,16.573,16.582,16.512
16.606,16.545,16.587,16.493
16.624,16.554,16.559,16.54
16.61,16.563,16.582,16.516
16.634,16.559,16.596,16.484
16.596,16.563,16.592,16.526
16.662,16.531,16.577,16.502
16.582,16.531,16.587,16.516
16.587,16.535,16.577,16.526
16.601,16.554,16.559,16.516
16.629,16.545,16.577,16.512
16.596,16.549,16.596,16.516
16.643,16.573,16.587,16.521
16.624,16.573,16.545,16.521
16.61,16.587,16.577,16.521
16.634,16.526,16.568,16.479
16.624,16.573,16.559,16.484
16.662,16.545,16.573,16.46
16.671,16.563,16.587,16.512
16.671,16.535,16.563,16.484
16.606,16.54,16.573,16.521
16.652,16.545,16.587,16.512
16.563,16.531,16.582,16.512
16.69,16.545,16.592,16.474
16.681,16.563,16.582,16.516
16.629,16.568,16.587,16.507
16.577,16.549,16.582,16.516
16.643,16.549,16.592,16.479
16.582,16.549,16.596,16.493
16.652,16.554,16.568,16.531
16.563,16.54,16.563,16.484
16.606,16.554,16.568,16.507
16.643,16.554,16.582,16.502
16.573,16.545,16.587,16.507
16.62,16.549,16.568,16.507
16.662,16.568,16.596,16.531
16.601,16.577,16.596,16.512
16.577,16.577,16.568,16.498
16.629,16.549,16.563,16.498
16.615,16.573,16.577,16.484
16.624,16.554,16.563,16.498
16.671,16.545,16.582,16.484
16.624,16.545,16.587,16.451
16.577,16.559,16.563,16.474
16.662,16.587,16.568,16.46
16.624,16.573,16.573,16.559
16.69,16.582,16.596,16.526
16.643,16.545,16.559,16.512
16.549,16.554,16.577,16.502
16.61,16.549,16.592,16.484
16.592,16.582,16.582,16.521
16.61,16.535,16.596,16.493
16.62,16.545,16.587,16.488
16.629,16.549,16.559,16.498
16.634,16.549,16.568,16.512
16.582,16.563,16.568,16.502
16.657,16.521,16.577,16.502
16.615,16.563,16.573,16.493
16.592,16.54,16.573,16.502
16.606,16.568,16.563,16.455
16.592,16.535,16.577,16.498
16.634,16.559,16.568,16.531
16.582,16.568,16.577,16.526
16.559,16.559,16.577,16.47
16.667,16.559,16.577,16.526
16.648,16.531,16.554,16.507
16.592,16.568,16.568,16.488
16.634,16.582,16.545,16.47
16.61,16.54,16.582,16.521
16.662,16.554,16.573,16.502
16.662,16.596,16.568,16.498
16.587,16.592,16.592,16.507
16.606,16.573,16.582,16.488
16.634,16.563,16.573,16.498
16.667,16.554,16.54,16.521
16.624,16.587,16.592,16.474
16.634,16.559,16.573,16.507
16.606,16.568,16.563,16.498
16.601,16.545,16.554,16.507
16.624,16.549,16.563,16.479
16.681,16.577,16.582,16.531
16.577,16.559,16.568,16.493
16.606,16.568,16.577,16.512
16.573,16.549,16.587,16.521
16.634,16.554,16.582,16.474
16.601,16.582,16.559,16.545
16.606,16.573,16.587,16.545
16.592,16.582,16.563,16.502
16.62,16.568,16.573,16.521
16.667,16.582,16.577,16.521
16.592,16.549,16.573,16.451
16.582,16.554,16.563,16.488
16.624,16.577,16.559,16.545
16.606,16.559,16.573,16.521
16.592,16.545,16.559,16.484
16.582,16.568,16.559,16.526
16.592,16.559,16.563,16.498
16.634,16.549,16.568,16.54
16.596,16.568,16.596,16.516
16.61,16.563,16.582,16.531
16.634,16.568,16.587,16.526
16.648,16.563,16.573,16.516
16.592,16.587,16.587,16.479
16.648,16.596,16.573,16.521
16.648,16.549,16.568,16.535
16.592,16.559,16.582,16.507
16.634,16.568,16.587,16.493
16.652,16.587,16.573,16.545
16.629,16.61,16.592,16.488
16.596,16.577,16.601,16.493
16.695,16.559,16.592,16.554
16.648,16.554,16.587,16.535
16.601,16.592,16.587,16.512
16.62,16.549,16.563,16.526
16.606,16.502,16.573,16.559
16.559,16.549,16.559,16.526
16.662,16.577,16.563,16.484
16.601,16.559,16.577,16.516
16.643,16.596,16.587,16.516
16.629,16.559,16.582,16.488
16.601,16.573,16.601,16.521
16.62,16.563,16.577,16.512
16.643,16.568,16.601,16.502
16.648,16.573,16.582,16.488
16.634,16.549,16.587,16.507
16.685,16.563,16.587,16.531
16.648,16.573,16.592,16.507
16.643,16.577,16.592,16.516
16.568,16.592,16.582,16.521
16.643,16.577,16.596,16.535
16.62,16.582,16.606,16.545
16.638,16.577,16.577,16.54
16.638,16.54,16.596,16.479
16.695,16.535,16.596,16.531
16.54,16.559,16.559,16.531
16.549,16.549,16.601,16.545
16.577,16.545,16.582,16.545
16.671,16.545,16.587,16.521
16.554,16.577,16.573,16.507
16.662,16.601,16.62,16.545
16.615,16.601,16.582,16.493
16.606,16.549,16.587,16.545
16.577,16.568,16.563,16.521
16.671,16.559,16.592,16.516
16.601,16.554,16.592,16.521
16.629,16.493,16.577,16.493
16.606,16.568,16.596,16.488
16.592,16.563,16.592,16.531
16.643,16.592,16.615,16.507
16.61,16.554,16.573,16.498
16.596,16.606,16.587,16.516
16.601,16.554,16.577,16.493
16.699,16.573,16.587,16.531
16.624,16.549,16.563,16.526
16.662,16.545,16.549,16.535
16.568,16.488,16.549,16.479
16.577,16.554,16.554,16.474
16.549,16.521,16.573,16.479
16.606,16.568,16.582,16.507
16.638,16.502,16.559,16.498
16.624,16.568,16.62,16.507
16.568,16.526,16.568,16.474
16.671,16.592,16.606,16.507
16.638,16.577,16.545,16.516
16.695,16.568,16.582,16.535
16.643,16.545,16.592,16.493
16.587,16.549,16.568,16.545
16.638,16.545,16.582,16.516
16.629,16.554,16.568,16.479
16.615,16.498,16.568,16.521
16.699,16.554,16.582,16.502
16.587,16.526,16.563,16.535
16.596,16.554,16.587,16.502
16.634,16.582,16.582,16.479
16.652,16.573,16.587,16.531
16.568,16.573,16.582,16.493
16.638,16.545,16.559,16.531
16.573,16.563,16.587,16.521
16.662,16.559,16.592,16.507
16.667,16.563,16.596,16.531
16.62,16.568,16.573,16.498
16.592,16.545,16.573,16.516
16.657,16.582,16.568,16.502
16.624,16.54,16.549,16.465
16.652,16.554,16.568,16.479
16.526,16.545,16.54,16.498
16.582,16.54,16.554,16.498
16.596,16.54,16.521,16.46
16.554,16.498,16.521,16.455
16.563,16.512,16.545,16.46
16.573,16.535,16.521,16.418
16.61,16.531,16.535,16.479
16.624,16.531,16.535,16.507
16.568,16.488,16.531,16.474
16.61,16.526,16.577,16.484
16.577,16.554,16.592,16.516
16.695,16.507,16.582,16.526
16.685,16.563,16.606,16.512
16.638,16.554,16.559,16.493
16.61,16.554,16.573,16.512
16.662,16.568,16.592,16.479
16.634,16.54,16.568,16.474
16.507,16.484,16.507,16.502
16.601,16.535,16.535,16.437
16.516,16.479,16.554,16.488
16.563,16.498,16.526,16.479
