A0,A1,A2,A3
8.661,8.591,8.595,8.511
8.577,8.605,8.567,8.586
8.642,8.628,8.642,8.516
8.572,8.567,8.591,8.553
8.6,8.619,8.572,8.478
8.577,8.591,8.614,8.562
8.595,8.6,8.572,8.502
8.713,8.572,8.581,8.497
8.577,8.595,8.633,8.605
8.591,8.567,8.591,8.534
8.605,8.591,8.591,8.548
8.609,8.581,8.581,8.534
8.591,8.6,8.619,8.469
8.68,8.586,8.586,8.544
8.595,8.581,8.586,8.577
8.694,8.6,8.605,8.525
8.67,8.6,8.633,8.567
8.666,8.586,8.6,8.558
8.628,8.586,8.605,8.497
8.628,8.591,8.591,8.516
8.684,8.577,8.562,8.502
8.605,8.567,8.591,8.483
8.623,8.581,8.586,8.619
8.595,8.586,8.647,8.567
8.562,8.586,8.614,8.605
8.572,8.572,8.614,8.539
8.623,8.619,8.633,8.562
8.591,8.553,8.609,8.544
8.652,8.6,8.619,8.562
8.68,8.628,8.666,8.609
8.661,8.623,8.652,8.544
8.647,8.591,8.591,8.553
8.591,8.595,8.6,8.506
8.558,8.623,8.572,8.548
8.642,8.581,8.591,8.6
8.638,8.647,8.623,8.483
8.581,8.586,8.581,8.581
8.699,8.638,8.577,8.553
8.595,8.562,8.591,8.417
8.638,8.619,8.577,8.53
8.595,8.609,8.567,8.511
8.628,8.562,8.605,8.502
8.633,8.591,8.591,8.572
8.609,8.586,8.623,8.595
8.647,8.591,8.544,8.605
8.642,8.591,8.572,8.511
8.544,8.609,8.633,8.539
8.581,8.586,8.619,8.459
8.553,8.577,8.6,8.534
8.577,8.619,8.605,8.581
8.647,8.623,8.605,8.6
8.609,8.609,8.6,8.567
8.628,8.577,8.577,8.581
8.689,8.605,8.581,8.534
8.647,8.586,8.595,8.478
8.586,8.572,8.591,8.591
8.609,8.581,8.591,8.525
8.708,8.595,8.614,8.506
8.623,8.614,8.595,8.525
8.628,8.609,8.6,8.562
8.581,8.595,8.605,8.525
8.6,8.609,8.572,8.502
8.614,8.619,8.619,8.53
8.591,8.562,8.577,8.567
8.619,8.572,8.605,8.591
8.619,8.591,8.595,8.558
8.6,8.595,8.591,8.562
