A0,A1,A2,A3
2.735,2.618,2.641,2.576
2.777,2.623,2.608,2.604
2.594,2.641,2.618,2.641
2.552,2.618,2.608,2.613
2.66,2.637,2.618,2.59
2.548,2.646,2.618,2.562
2.58,2.627,2.608,2.566
2.664,2.608,2.627,2.604
2.562,2.627,2.623,2.637
2.655,2.641,2.627,2.608
2.702,2.632,2.623,2.623
2.8,2.641,2.604,2.594
2.692,2.651,2.627,2.613
2.697,2.627,2.623,2.613
2.599,2.637,2.623,2.613
2.66,2.618,2.576,2.613
2.852,2.646,2.623,2.599
2.711,2.637,2.599,2.613
2.753,2.651,2.608,2.627
2.604,2.646,2.608,2.604
2.706,2.613,2.613,2.627
2.637,2.623,2.623,2.618
2.702,2.646,2.608,2.585
2.623,2.599,2.623,2.594
2.632,2.599,2.594,2.594
2.706,2.627,2.613,2.618
2.637,2.665,2.632,2.623
2.552,2.637,2.641,2.637
2.632,2.604,2.599,2.618
2.678,2.637,2.632,2.59
2.651,2.66,2.641,2.632
2.739,2.632,2.646,2.646
2.72,2.66,2.632,2.655
2.585,2.594,2.632,2.608
2.585,2.665,2.637,2.66
2.664,2.655,2.632,2.627
2.73,2.641,2.637,2.576
2.632,2.632,2.665,2.571
2.758,2.651,2.613,2.552
2.697,2.594,2.641,2.623
2.749,2.651,2.655,2.557
2.744,2.651,2.674,2.637
2.73,2.618,2.618,2.594
2.683,2.608,2.599,2.618
2.692,2.613,2.594,2.613
2.585,2.655,2.585,2.618
2.706,2.632,2.623,2.608
2.669,2.674,2.651,2.599
2.688,2.641,2.594,2.641
2.772,2.623,2.618,2.604
2.58,2.641,2.604,2.58
2.669,2.632,2.637,2.585
2.608,2.646,2.576,2.618
2.795,2.623,2.637,2.599
2.627,2.623,2.641,2.594
2.604,2.646,2.651,2.641
2.716,2.655,2.641,2.576
2.795,2.637,2.641,2.594
2.697,2.651,2.641,2.613
2.744,2.618,2.637,2.604
2.749,2.632,2.623,2.627
2.702,2.637,2.646,2.623
2.72,2.646,2.637,2.594
2.669,2.623,2.646,2.594
2.674,2.637,2.627,2.627
2.706,2.651,2.637,2.641
2.711,2.641,2.618,2.571
2.632,2.646,2.623,2.585
2.739,2.623,2.618,2.571
2.8,2.637,2.618,2.599
2.739,2.632,2.618,2.59
2.725,2.623,2.618,2.599
2.669,2.613,2.618,2.613
2.655,2.618,2.627,2.566
2.706,2.637,2.594,2.562
2.627,2.646,2.66,2.604
2.725,2.646,2.646,2.618
2.665,2.646,2.608,2.613
2.683,2.641,2.599,2.594
2.81,2.665,2.608,2.618
2.66,2.678,2.669,2.641
2.669,2.637,2.637,2.604
2.772,2.627,2.618,2.632
2.669,2.627,2.646,2.637
2.711,2.637,2.646,2.594
2.702,2.669,2.618,2.594
2.627,2.637,2.665,2.655
2.576,2.627,2.618,2.637
