A0,A1,A2,A3
6.618,6.538,6.543,6.426
6.66,6.529,6.496,6.454
6.59,6.557,6.58,6.515
6.651,6.543,6.543,6.482
6.566,6.552,6.529,6.444
6.608,6.557,6.538,6.533
6.543,6.552,6.562,6.515
6.674,6.566,6.562,6.458
6.693,6.548,6.524,6.482
6.646,6.599,6.608,6.519
6.651,6.487,6.548,6.482
6.688,6.576,6.58,6.491
6.627,6.501,6.529,6.538
6.599,6.552,6.543,6.426
6.604,6.538,6.538,6.538
6.618,6.533,6.538,6.538
6.627,6.524,6.543,6.533
6.669,6.566,6.557,6.449
6.585,6.538,6.529,6.449
6.548,6.562,6.538,6.51
6.655,6.543,6.538,6.566
6.613,6.496,6.538,6.472
6.679,6.533,6.552,6.496
6.604,6.543,6.566,6.458
6.613,6.533,6.566,6.496
6.669,6.557,6.524,6.51
6.651,6.524,6.566,6.472
6.693,6.576,6.571,6.538
6.529,6.543,6.566,6.491
6.702,6.548,6.571,6.548
6.702,6.548,6.585,6.482
6.59,6.557,6.585,6.482
6.665,6.576,6.623,6.477
6.735,6.552,6.576,6.505
6.599,6.618,6.618,6.524
6.66,6.576,6.585,6.487
6.651,6.538,6.533,6.487
6.571,6.538,6.543,6.454
6.655,6.608,6.59,6.548
6.655,6.533,6.524,6.421
6.66,6.543,6.538,6.435
6.58,6.538,6.552,6.533
6.684,6.548,6.552,6.538
6.613,6.557,6.538,6.444
6.665,6.562,6.519,6.519
6.655,6.552,6.519,6.496
6.655,6.501,6.552,6.454
6.585,6.543,6.519,6.533
6.655,6.533,6.538,6.524
6.58,6.515,6.501,6.444
6.557,6.51,6.543,6.477
6.613,6.538,6.533,6.538
6.702,6.552,6.529,6.472
6.562,6.557,6.533,6.51
6.651,6.552,6.585,6.501
6.655,6.562,6.524,6.529
6.613,6.548,6.548,6.458
6.669,6.519,6.552,6.515
6.637,6.533,6.557,6.421
6.669,6.543,6.501,6.491
6.623,6.557,6.566,6.51
6.674,6.538,6.58,6.538
6.548,6.548,6.557,6.552
6.632,6.571,6.548,6.463
6.637,6.571,6.557,6.454
6.665,6.538,6.533,6.468
6.684,6.496,6.524,6.505
6.613,6.529,6.543,6.472
6.665,6.524,6.552,6.416
6.557,6.543,6.548,6.519
6.641,6.529,6.515,6.482
6.66,6.533,6.533,6.515
6.623,6.543,6.543,6.519
6.702,6.529,6.519,6.505
6.538,6.548,6.505,6.468
6.646,6.562,6.524,6.458
6.594,6.552,6.533,6.482
6.552,6.533,6.548,6.538
6.613,6.562,6.562,6.491
6.496,6.548,6.529,6.454
6.655,6.524,6.519,6.472
6.688,6.548,6.557,6.435
6.59,6.529,6.538,6.552
6.613,6.524,6.533,6.472
6.552,6.519,6.562,6.552
6.543,6.519,6.543,6.519
0.0,6.566,0.0,6.529
6.655,6.533,6.548,6.449
6.665,6.533,6.576,6.524
6.646,6.505,6.576,6.529
6.58,6.519,6.576,6.496
6.698,6.538,6.566,6.458
6.665,6.557,6.576,6.458
6.665,6.552,6.566,6.552
6.524,6.543,6.543,6.454
6.679,6.519,6.613,6.524
6.679,6.557,6.576,6.482
6.655,6.543,6.557,6.458
6.674,6.529,6.533,6.472
6.51,6.538,6.543,6.529
6.716,6.562,6.585,6.594
6.557,6.529,6.533,6.51
6.651,6.585,6.618,6.571
6.655,6.543,6.51,6.472
6.712,6.548,6.608,6.496
6.571,6.533,6.519,6.487
6.655,6.562,6.529,6.477
6.613,6.552,6.557,6.533
6.623,6.533,6.562,6.519
6.66,6.566,6.599,6.552
6.618,6.552,6.538,6.491
6.632,6.543,6.538,6.524
6.641,6.552,6.58,6.548
6.674,6.538,6.529,6.543
6.58,6.548,6.538,6.524
6.623,6.543,6.552,6.51
6.524,6.538,6.524,6.491
6.627,6.543,6.552,6.533
6.688,6.529,6.519,6.496
6.641,6.543,6.519,6.529
