A0,A1,A2,A3
20.6,20.562,20.53,20.525
20.572,20.562,20.534,20.515
20.656,20.609,20.52,20.647
20.623,20.558,20.53,20.487
20.623,20.544,20.53,20.544
20.609,20.534,20.525,20.53
20.642,20.53,20.548,20.525
20.651,20.553,20.548,20.534
20.576,20.572,20.544,20.539
20.605,20.6,20.53,20.539
20.637,20.586,20.581,20.539
20.619,20.595,20.52,20.515
20.651,20.562,20.52,20.558
20.609,20.567,20.534,20.506
20.628,20.581,20.544,20.544
20.637,20.558,20.53,20.506
20.637,20.53,20.539,20.534
20.642,20.595,20.539,20.501
20.684,20.586,20.553,20.534
20.6,20.572,20.544,20.501
20.666,20.567,20.53,20.515
20.6,20.534,20.544,20.53
20.656,20.562,20.53,20.506
20.628,20.52,20.53,20.548
20.619,20.572,20.562,20.525
20.628,20.534,20.548,20.511
20.656,20.558,20.539,20.511
20.595,20.539,20.539,20.52
20.586,20.544,20.544,20.544
20.651,20.539,20.539,20.53
20.642,20.553,20.539,20.525
20.572,20.591,20.548,20.534
20.656,20.572,20.558,20.53
20.651,20.534,20.558,20.539
20.689,20.544,20.534,20.515
20.619,20.567,20.534,20.525
20.572,20.539,20.539,20.511
20.609,20.562,20.53,20.544
20.642,20.595,20.558,20.534
20.647,20.576,20.553,20.53
20.666,20.567,20.544,20.483
20.586,20.609,20.539,20.515
20.628,20.572,20.52,20.52
20.572,20.553,20.53,20.525
20.628,20.558,20.525,20.487
20.6,20.581,20.544,20.52
20.609,20.534,20.525,20.525
20.661,20.567,20.525,20.53
20.605,20.562,20.534,20.492
20.605,20.52,20.534,20.506
20.609,20.553,20.53,20.497
20.605,20.539,20.525,20.52
20.628,20.539,20.53,20.53
20.623,20.576,20.544,20.548
20.609,20.548,20.558,20.53
20.609,20.53,20.539,20.501
20.633,20.558,20.539,0.0
20.637,20.562,20.539,0.0
20.675,20.581,20.539,20.548
20.68,20.544,20.515,20.539
20.605,20.562,20.525,20.534
20.623,20.567,20.534,20.515
20.619,20.553,20.548,20.492
20.614,20.53,20.553,20.501
20.633,20.567,20.539,20.544
20.619,20.572,20.562,20.53
20.6,20.567,20.539,20.548
20.595,20.576,20.53,20.52
20.619,20.558,20.534,20.525
20.642,20.553,20.525,20.492
20.6,20.572,20.53,20.506
20.6,20.553,20.553,20.511
20.637,20.553,20.506,20.515
20.595,20.558,20.53,20.553
20.576,20.544,20.553,20.515
20.661,20.562,20.515,20.53
20.67,20.6,20.515,20.511
20.619,20.562,20.53,20.539
20.637,20.576,20.534,20.511
20.605,20.553,20.525,20.52
20.637,20.558,20.534,20.539
20.576,20.553,20.525,20.511
20.572,20.576,20.511,20.511
20.567,20.591,20.558,20.525
20.609,20.586,20.544,20.539
20.623,20.572,20.534,20.497
20.651,20.553,20.534,20.548
20.628,20.572,20.544,20.544
20.6,20.548,20.534,20.53
20.684,20.591,20.558,20.567
20.717,20.586,20.544,20.567
20.586,20.553,20.515,20.539
20.609,20.553,20.548,20.53
20.595,20.576,20.548,20.558
20.614,0.0,20.544,20.525
20.637,20.581,20.525,20.562
20.623,20.6,20.52,20.539
20.651,20.619,20.525,20.544
20.609,20.567,20.534,20.525
20.633,20.558,20.544,20.52
20.562,20.562,20.506,20.52
20.572,20.591,20.525,20.539
20.656,20.567,20.511,20.548
20.633,20.548,20.525,20.525
20.614,20.562,20.558,20.558
20.623,20.558,20.506,20.534
20.586,20.576,20.534,20.525
20.647,20.567,20.544,20.572
20.619,20.567,20.534,20.548
20.609,20.591,20.52,20.534
20.6,20.614,20.544,20.558
20.567,20.586,20.525,20.534
20.553,20.572,20.539,20.53
20.642,20.558,20.539,20.52
20.609,20.591,20.539,20.548
20.614,20.581,20.53,20.525
20.633,20.572,20.511,20.539
20.609,20.572,20.497,20.558
20.633,20.558,20.515,20.544
20.609,20.576,20.53,20.515
20.637,20.576,20.544,20.558
20.628,20.586,20.52,20.553
20.68,20.567,20.534,20.53
20.637,20.53,20.539,20.562
20.619,20.562,20.539,20.525
20.591,20.6,20.558,20.562
20.548,20.511,20.539,20.567
20.623,20.581,20.544,20.544
20.572,20.562,20.525,20.544
20.628,20.576,20.558,20.53
20.642,20.581,20.53,20.539
20.623,20.576,20.539,20.539
20.637,20.595,20.558,20.539
20.708,20.628,20.576,20.576
20.647,20.628,20.539,20.562
20.642,20.558,20.515,20.558
20.623,20.576,20.52,20.548
20.591,20.572,20.52,20.544
20.6,20.534,20.52,20.558
20.637,20.53,20.544,20.515
20.628,20.548,20.515,20.558
20.656,20.567,20.506,20.567
20.651,20.525,20.525,20.544
20.609,20.544,20.52,20.53
20.595,20.576,20.534,20.534
20.633,20.548,20.544,20.553
20.647,20.534,20.511,20.53
20.614,20.576,20.511,20.553
20.656,20.6,20.525,20.558
20.591,20.567,20.515,20.525
20.628,20.562,20.515,20.534
20.647,20.558,20.525,20.562
20.651,20.553,20.548,20.558
20.661,20.553,20.539,20.506
20.605,20.52,20.539,20.53
20.628,20.544,20.53,20.534
20.6,20.553,20.506,20.511
20.633,20.539,20.506,20.53
20.666,20.553,20.548,20.558
20.656,20.558,20.53,20.586
20.6,20.553,20.515,20.53
20.572,20.6,20.534,20.572
20.619,20.576,20.53,20.548
20.661,20.572,20.515,20.534
20.6,20.581,20.553,20.567
20.619,20.591,20.525,20.572
20.651,20.591,20.534,20.539
20.694,20.6,20.553,20.572
20.656,20.595,20.572,20.572
20.67,20.595,20.558,20.567
20.623,20.595,20.548,20.511
20.591,20.572,20.53,20.539
20.666,20.572,20.548,20.544
20.656,20.576,20.497,20.553
20.614,20.576,20.544,20.595
20.628,20.595,20.567,20.562
20.633,20.581,20.572,20.52
20.694,20.581,20.553,20.572
20.609,20.576,20.544,20.525
20.623,20.562,20.553,20.539
20.623,20.605,20.553,20.553
20.619,20.609,20.548,20.539
20.637,20.591,20.558,20.576
20.609,20.581,20.544,20.548
20.642,20.562,20.553,20.562
20.661,20.628,20.553,20.6
20.661,20.562,20.572,20.53
20.684,20.591,20.544,20.544
20.623,20.605,20.544,20.576
20.68,20.595,20.558,20.586
20.628,20.576,20.534,20.581
20.68,20.558,20.553,20.539
20.68,20.562,20.534,20.591
20.619,20.586,20.553,20.539
20.647,20.562,20.492,20.534
20.647,20.628,20.52,20.52
20.614,20.567,20.52,20.501
20.633,20.586,20.562,20.483
20.619,20.6,20.562,20.576
20.595,20.605,20.539,20.628
20.628,20.591,20.562,20.553
20.614,20.558,20.572,20.511
20.633,20.572,20.562,20.544
20.633,20.605,20.52,20.562
20.675,20.558,20.548,20.562
20.619,20.558,20.52,20.581
20.666,20.6,20.539,20.567
20.567,20.572,20.539,20.572
20.675,20.591,20.501,20.558
20.609,20.576,20.558,20.558
20.591,20.572,20.53,20.562
20.605,20.558,20.497,20.576
20.619,20.553,20.53,20.562
20.703,20.572,20.558,20.576
20.661,20.591,20.53,20.562
20.637,20.595,20.553,20.558
20.628,20.581,20.539,20.534
20.675,20.6,20.53,20.576
20.651,20.576,20.544,20.562
20.68,20.581,20.581,20.539
20.684,20.595,20.586,20.581
20.689,20.572,20.544,20.553
20.689,20.576,20.581,20.567
20.666,20.576,20.562,20.553
20.661,20.595,20.548,20.534
20.605,20.581,20.539,20.562
20.661,20.6,20.562,20.619
20.661,20.595,20.581,20.633
20.694,20.642,20.581,20.581
20.689,20.637,20.558,20.628
20.666,20.637,20.548,20.567
20.675,20.628,20.544,20.548
20.609,20.586,20.558,20.534
20.628,20.609,20.548,20.544
20.656,20.605,20.567,20.567
20.731,20.595,20.544,20.595
20.689,20.609,20.53,20.567
20.661,20.605,20.548,20.567
20.717,20.609,20.553,20.515
20.684,20.609,20.548,20.534
20.666,20.586,20.562,20.544
20.647,20.581,20.558,20.591
20.666,20.619,20.558,20.586
20.689,20.609,20.553,20.553
20.694,20.581,20.562,20.581
20.717,20.591,20.562,20.562
20.689,20.609,20.567,20.595
20.68,20.6,20.553,20.581
20.651,20.581,20.572,20.591
20.689,20.576,20.544,20.562
20.708,20.609,20.581,20.544
20.675,20.651,20.544,20.586
20.727,20.586,20.553,20.553
20.666,20.581,20.567,20.572
20.647,20.591,20.558,20.534
20.68,20.581,20.562,20.562
20.661,20.614,20.558,20.567
20.703,20.614,20.562,20.586
20.689,20.595,20.558,20.544
20.633,20.619,20.567,20.562
20.675,20.581,20.525,20.572
20.698,20.619,20.558,20.562
20.684,20.558,20.553,20.553
20.661,20.605,20.567,20.544
20.614,20.586,20.562,20.576
20.717,20.6,20.581,20.576
20.736,20.595,20.586,20.534
20.656,20.591,20.544,20.567
20.633,20.609,20.558,20.534
20.623,20.595,20.572,20.548
20.68,20.591,20.562,20.576
20.637,20.605,20.548,20.572
20.675,20.572,20.567,20.562
20.703,20.595,20.567,20.567
20.68,20.572,20.548,20.567
20.717,20.572,20.567,20.539
20.712,20.586,20.558,20.576
20.722,20.567,20.567,20.548
20.656,20.595,20.548,20.567
20.656,20.595,20.576,20.572
20.605,20.581,20.558,20.548
20.689,20.591,20.605,20.595
20.689,20.609,20.581,20.567
20.656,20.6,20.572,20.562
20.684,20.591,20.553,20.553
20.675,20.619,20.586,20.558
20.605,20.591,20.553,20.544
20.708,20.605,20.572,20.567
20.637,20.576,20.558,20.515
20.712,20.614,20.567,20.548
20.647,20.619,20.553,20.548
20.712,20.619,20.553,20.562
20.694,20.591,20.562,20.567
20.717,20.591,20.572,20.595
20.67,20.595,20.567,20.553
20.651,20.586,20.576,20.553
20.708,20.6,20.553,20.544
20.642,20.605,20.567,20.548
20.642,20.581,20.567,20.572
20.67,20.562,20.572,20.558
20.675,20.586,20.567,20.539
20.633,20.623,20.562,20.576
20.666,20.605,20.576,20.562
20.666,20.591,20.572,20.548
20.623,20.586,20.6,20.534
20.708,20.595,20.586,20.525
20.67,20.614,20.567,20.515
20.703,20.581,20.553,20.572
20.628,20.576,20.576,20.52
20.708,20.581,20.581,20.553
20.736,20.591,20.572,20.53
20.727,20.567,20.572,20.576
20.703,20.614,20.595,20.544
20.666,20.605,20.586,20.562
20.675,20.605,20.534,20.558
20.703,20.576,20.6,20.572
20.642,20.6,20.572,20.544
20.68,20.553,20.548,20.553
20.651,20.572,20.609,20.548
20.689,20.576,20.567,20.548
20.628,20.567,20.548,20.581
20.656,20.553,20.572,20.605
20.68,20.591,20.576,20.581
20.708,20.6,20.576,20.558
20.637,20.6,20.576,20.567
20.675,20.581,20.567,20.567
20.619,20.605,20.586,20.544
20.651,20.581,20.572,20.548
20.694,20.595,20.567,20.525
20.651,20.586,20.534,20.525
20.666,20.576,20.515,20.52
20.619,20.605,20.562,20.534
20.666,20.562,20.525,20.539
20.67,20.6,20.548,20.525
20.698,20.544,20.572,20.501
20.637,20.595,20.553,20.539
20.623,20.586,20.562,20.52
20.661,20.595,20.572,20.572
20.68,20.6,20.544,20.539
20.637,20.605,20.548,20.572
20.675,20.581,20.544,20.572
20.68,20.628,20.567,20.623
20.675,20.595,20.553,20.567
20.684,20.6,20.553,20.562
20.68,20.581,20.595,20.572
20.647,20.633,20.567,20.576
20.656,20.595,20.605,20.6
20.684,20.586,20.581,20.595
20.666,20.609,20.576,20.595
20.656,20.586,20.553,20.595
20.717,20.633,20.595,20.628
20.666,0.0,20.553,20.605
20.698,20.637,20.647,20.628
20.736,20.637,20.591,20.623
20.656,20.651,20.619,20.647
20.698,20.633,20.619,20.609
20.755,20.689,20.642,20.633
20.75,20.623,20.562,20.567
20.764,20.605,20.572,20.666
20.675,20.623,20.591,20.605
20.67,20.619,20.591,20.623
20.703,20.637,20.572,20.591
20.675,20.6,20.562,20.614
20.675,20.595,20.548,20.591
20.67,20.609,20.591,20.562
20.689,0.0,20.572,20.572
20.694,0.0,20.586,20.581
20.633,20.623,20.562,20.567
20.666,20.614,20.576,20.609
20.661,20.609,20.572,20.548
20.633,20.619,20.572,20.576
20.651,20.567,20.562,20.539
20.703,20.591,20.562,20.544
20.675,20.609,20.548,20.53
20.666,20.576,20.591,20.572
20.628,20.6,20.633,20.572
20.67,20.595,20.581,20.553
20.689,20.558,20.567,20.558
20.637,20.534,20.572,20.525
20.68,20.609,20.609,20.558
20.67,20.623,20.562,20.576
20.647,20.628,20.539,20.567
20.675,20.609,20.548,20.548
20.698,20.6,20.591,20.567
20.642,20.567,20.553,20.53
20.628,20.581,20.53,20.534
20.684,20.595,20.539,20.539
20.628,20.562,20.567,20.534
20.675,20.591,20.553,20.586
20.647,20.591,20.548,20.572
20.698,20.609,20.576,20.548
20.656,20.576,20.539,20.497
20.684,20.553,20.558,20.576
20.68,20.605,20.534,20.548
20.689,20.6,20.539,20.581
20.703,20.591,20.548,20.572
20.67,20.609,20.572,20.567
20.675,20.567,20.591,20.525
20.694,20.567,20.553,20.525
20.68,20.576,20.562,20.544
20.689,20.609,20.52,20.558
20.684,20.581,20.539,20.562
20.661,20.595,20.539,20.553
20.637,20.581,20.586,20.544
20.619,20.558,20.595,20.525
20.661,20.591,20.544,20.576
20.633,20.567,20.539,20.534
20.656,20.605,20.6,20.553
20.651,20.605,20.544,20.511
20.642,20.581,20.487,20.473
20.698,20.581,20.548,20.572
20.633,20.609,20.525,20.534
20.651,20.595,20.53,20.53
20.633,20.562,20.544,20.515
20.703,20.572,20.6,20.558
20.656,20.623,20.581,20.548
20.684,20.623,20.492,20.548
20.647,20.623,20.506,20.52
20.647,20.614,20.544,20.525
20.708,20.595,20.53,20.525
20.698,20.647,20.562,20.553
20.642,20.651,20.539,20.558
20.745,20.609,20.548,20.576
20.647,20.591,20.53,20.52
20.619,20.558,20.534,20.53
20.684,20.558,20.539,20.591
20.67,20.609,20.562,20.567
20.694,20.6,20.553,20.548
20.642,20.619,20.52,20.539
20.614,20.595,20.525,20.525
20.661,20.572,20.567,20.558
20.666,20.609,20.534,20.544
20.689,20.609,20.581,20.586
20.684,20.572,20.562,20.53
20.67,20.581,20.548,20.567
20.689,20.572,20.553,20.548
20.722,20.553,20.544,20.581
20.67,20.586,20.539,20.562
20.666,20.605,20.553,20.558
20.68,20.591,20.534,20.548
20.651,20.567,20.548,20.52
20.619,20.591,20.539,20.511
20.637,20.595,20.534,20.558
20.666,20.628,20.576,20.539
20.661,20.614,20.534,20.548
20.637,20.572,20.558,20.572
20.628,20.562,20.581,20.572
20.647,20.6,20.515,20.553
20.67,20.591,20.581,20.567
20.712,20.619,20.581,20.548
20.656,20.586,20.539,20.562
20.689,20.591,20.539,20.586
20.656,20.567,20.558,20.576
20.675,20.553,20.52,20.567
20.661,20.614,20.562,20.544
20.684,20.576,20.539,20.576
20.722,20.581,20.562,20.562
20.666,20.623,20.558,20.595
20.698,20.591,20.586,20.581
20.67,20.591,20.548,20.572
20.684,20.605,20.562,20.586
20.656,20.586,20.553,20.548
20.637,20.595,20.567,20.544
20.703,20.591,20.572,20.586
20.642,20.6,20.548,20.548
20.698,20.6,20.558,20.567
20.698,20.595,20.534,20.591
20.684,20.6,20.544,20.586
20.708,20.591,20.553,20.558
20.633,20.619,20.572,20.567
20.712,20.581,20.572,20.572
20.675,20.605,20.562,20.572
20.656,20.623,20.576,20.558
20.68,20.6,20.544,20.576
20.68,20.637,20.567,20.572
20.698,20.6,20.562,20.581
20.67,20.591,20.562,20.576
20.623,20.628,20.553,20.53
20.694,20.6,20.562,20.567
20.656,20.595,20.553,20.553
20.694,20.614,20.548,20.52
20.609,20.637,20.558,20.586
20.694,20.576,20.534,20.581
20.67,20.6,20.576,20.567
20.712,20.567,20.548,20.567
20.614,20.642,20.553,20.562
20.694,20.609,20.515,20.539
20.689,20.572,20.572,20.544
20.619,20.595,20.572,20.553
20.708,20.591,20.562,20.558
20.666,20.572,20.525,20.548
