A0,A1,A2,A3
5.794,5.709,5.733,5.765
5.77,5.714,5.7,5.728
5.737,5.719,5.695,5.7
5.714,5.672,5.676,5.742
5.77,5.662,5.676,5.672
5.822,5.686,5.704,5.742
5.789,5.709,5.681,5.728
5.794,5.704,5.719,5.728
5.686,5.7,5.695,5.686
5.751,5.723,5.686,5.733
5.704,5.719,5.704,5.695
5.822,5.7,5.681,5.737
5.798,5.704,5.667,5.719
5.826,5.714,5.69,5.737
5.7,5.728,5.719,5.686
5.7,5.69,5.704,5.686
5.761,5.69,5.747,5.728
5.733,5.709,5.719,5.714
5.737,5.709,5.709,5.723
5.747,5.723,5.69,5.634
5.737,5.672,5.695,5.714
5.733,5.662,5.695,5.681
5.653,5.7,5.7,5.695
5.723,5.672,5.69,5.756
5.808,5.728,5.723,5.639
5.709,5.737,5.7,5.709
5.733,5.709,5.681,5.77
5.7,5.667,5.7,5.704
5.672,5.667,5.704,5.751
5.78,5.658,5.709,5.658
5.723,5.728,5.723,5.695
5.719,5.704,5.704,5.756
5.751,5.695,5.723,5.695
5.761,5.704,5.733,5.704
5.756,5.681,5.658,5.714
5.794,5.723,5.723,5.709
5.719,5.719,5.737,5.681
5.709,5.709,5.695,5.7
5.756,5.7,5.714,5.714
5.7,5.7,5.733,5.681
5.723,5.686,5.737,5.719
5.704,5.709,5.709,5.742
5.765,5.695,5.728,5.709
5.714,5.672,5.737,5.751
5.765,5.728,5.728,5.709
5.7,5.7,5.728,5.7
5.756,5.704,5.723,5.658
5.817,5.728,5.728,5.728
5.78,5.7,5.704,5.728
5.719,5.667,5.714,5.719
5.737,5.728,5.69,5.747
5.798,5.676,5.695,5.695
5.714,5.747,5.742,5.704
5.709,5.723,5.723,5.686
5.808,5.686,5.704,5.709
5.761,5.704,5.719,5.695
5.808,5.733,5.751,5.761
5.826,5.751,5.728,5.676
5.737,5.695,5.723,5.747
5.719,5.695,5.728,5.737
5.789,5.714,5.704,5.742
5.765,5.714,5.723,5.756
5.751,5.704,5.742,5.756
5.765,5.7,5.747,5.742
5.751,5.733,5.737,5.728
5.765,5.728,5.737,5.704
5.794,5.704,5.709,5.681
5.808,5.69,5.719,5.695
5.822,5.719,5.719,5.676
5.742,5.672,5.686,5.742
5.775,5.69,5.719,5.728
5.803,5.747,5.704,5.695
5.723,5.7,5.723,5.7
5.77,5.695,5.723,5.695
5.751,5.723,5.714,5.686
5.714,5.742,5.704,5.714
5.789,5.737,5.719,5.747
5.794,5.704,5.69,5.719
5.794,5.69,5.733,5.676
5.756,5.733,5.719,5.69
5.733,5.709,5.728,5.7
5.733,5.714,5.728,5.676
5.784,5.69,5.7,5.733
5.803,5.714,5.719,5.728
5.78,5.723,5.709,5.69
5.803,5.695,5.733,5.7
5.803,5.728,5.704,5.709
5.78,5.7,5.737,5.723
5.775,5.714,5.728,5.695
5.817,5.733,5.719,5.723
5.714,5.747,5.723,5.728
5.747,5.737,5.742,5.662
5.751,5.733,5.723,5.653
5.775,5.728,5.704,5.761
5.77,5.742,5.728,5.709
5.822,5.709,5.728,5.686
5.714,5.714,5.728,5.719
5.756,5.723,5.737,5.728
5.761,5.728,5.733,5.756
5.77,5.728,5.695,5.719
5.78,5.756,5.7,5.728
5.77,5.751,5.733,5.709
5.728,5.709,5.7,5.667
5.798,5.69,5.7,5.719
5.658,5.756,5.709,5.709
5.733,5.728,5.681,5.751
5.728,5.719,5.695,5.69
5.733,5.7,5.686,5.733
5.761,5.704,5.704,5.7
5.77,5.681,5.737,5.733
5.765,5.709,5.709,5.719
5.812,5.728,5.733,5.794
5.723,5.728,5.704,5.733
5.756,5.728,5.714,5.7
5.747,5.723,5.704,5.7
5.742,5.747,5.723,5.719
5.728,5.733,5.7,5.686
5.728,5.728,5.672,5.69
5.756,5.719,5.695,5.742
5.751,5.69,5.719,5.723
5.733,5.709,5.695,5.714
5.751,5.733,5.681,5.728
5.798,5.714,5.69,5.719
5.751,5.7,5.723,5.747
5.765,5.676,5.686,5.704
5.728,5.7,5.714,5.69
5.714,5.7,5.7,5.728
5.704,5.719,5.723,5.733
5.794,5.7,5.733,5.737
5.742,5.728,5.737,5.695
5.737,5.733,5.742,5.709
