A0,A1,A2,A3
13.878,13.826,13.826,13.789
13.845,13.807,13.821,13.812
13.878,13.85,13.821,13.784
13.864,13.831,13.821,13.812
13.882,13.868,13.803,13.812
13.892,13.817,13.826,13.789
13.864,13.854,13.817,13.784
13.887,13.85,13.821,13.774
13.864,13.854,13.807,13.77
13.821,13.826,13.807,13.76
13.887,13.85,13.793,13.807
13.85,13.831,13.793,13.789
13.831,13.854,13.807,13.784
13.859,13.84,13.793,13.756
13.873,13.84,13.826,13.77
13.845,13.826,13.826,13.793
13.807,13.845,13.793,13.798
13.817,13.817,13.803,13.812
13.854,13.84,13.798,13.798
13.873,13.798,13.789,13.765
13.817,13.826,13.789,13.77
13.868,13.835,13.798,13.732
13.854,13.84,13.812,13.793
13.826,13.831,13.807,13.784
13.873,13.831,13.817,13.798
13.896,13.821,13.793,13.817
13.868,13.812,13.807,13.793
13.854,13.812,13.803,13.756
13.882,13.84,13.807,13.789
13.845,13.821,13.803,13.751
13.817,13.868,13.803,13.807
13.835,13.807,13.784,13.746
13.864,13.835,13.789,13.807
13.817,13.831,13.798,13.793
13.821,13.84,13.789,13.77
13.868,13.854,13.826,13.737
13.854,13.859,13.793,13.779
13.835,13.854,13.821,13.779
13.906,13.826,13.793,13.779
13.906,13.84,13.793,13.765
13.831,13.84,13.798,13.76
13.812,13.821,13.798,13.756
13.821,13.845,13.793,13.779
13.826,13.85,13.784,13.798
13.831,13.798,13.812,13.751
13.873,13.84,13.798,13.803
13.831,13.826,13.812,13.803
13.826,13.835,13.798,13.784
13.85,13.821,13.789,13.793
13.817,13.85,13.803,13.789
13.882,13.784,13.817,13.784
13.882,13.831,13.779,13.789
13.84,13.835,13.831,13.793
13.812,13.84,13.789,13.784
13.845,13.821,13.779,13.789
13.845,13.84,13.784,13.793
13.868,13.831,13.798,13.789
13.873,13.831,13.84,13.765
13.854,13.85,13.798,13.774
13.835,13.854,13.798,13.789
13.859,13.835,13.798,13.742
13.873,13.817,13.784,13.756
13.826,13.835,13.789,13.765
13.864,13.826,13.793,13.76
13.854,13.784,13.798,13.784
13.868,13.821,13.812,13.803
13.85,13.84,13.798,13.807
13.868,13.821,13.84,13.737
13.84,13.803,13.765,13.756
13.84,13.831,13.779,13.732
13.873,13.835,13.77,13.774
13.85,13.835,13.784,13.784
13.873,13.845,13.803,13.76
13.835,13.821,13.793,13.784
13.868,13.831,13.784,13.774
13.845,13.831,13.803,13.779
13.854,13.854,13.779,13.789
13.868,13.798,13.807,13.765
13.85,13.835,13.793,13.793
13.812,13.84,13.789,13.793
13.84,13.84,13.821,13.746
13.868,13.835,13.77,13.732
13.892,13.84,13.812,13.779
13.854,13.845,13.798,13.746
13.835,13.835,13.789,13.737
13.896,13.807,13.84,13.77
13.882,13.821,13.798,13.789
13.878,13.835,13.807,13.774
13.864,13.85,13.789,13.774
13.878,13.84,13.779,13.77
13.831,13.85,13.803,13.746
13.873,13.807,13.798,13.765
13.873,13.85,13.812,13.77
13.845,13.817,13.803,13.774
13.84,13.803,13.821,13.751
13.878,13.807,13.807,13.77
13.85,13.831,13.807,13.779
13.882,13.807,13.807,13.774
13.845,13.854,13.807,13.798
13.868,13.84,13.812,13.76
13.84,13.789,13.76,13.746
13.868,13.807,13.784,13.774
13.859,13.831,13.807,13.751
13.845,13.812,13.789,13.784
13.868,13.831,13.798,13.732
13.915,13.835,13.793,13.77
13.868,13.845,13.803,13.779
13.821,13.817,13.817,13.784
13.892,13.845,13.807,13.751
13.859,13.807,13.821,13.756
13.84,13.835,13.77,13.803
13.821,13.789,13.798,13.756
13.901,13.821,13.812,13.746
13.826,13.821,13.793,13.728
13.868,13.845,13.812,13.76
13.887,13.84,13.774,13.756
13.878,13.779,13.812,13.732
13.868,13.826,13.793,13.751
13.845,13.845,13.826,13.765
13.896,13.85,13.798,13.807
13.831,13.854,13.812,13.784
13.859,13.831,13.812,13.793
13.835,13.826,13.779,13.807
13.84,13.85,13.784,13.765
13.845,13.817,13.789,13.793
13.859,13.854,13.779,13.77
13.882,13.784,13.789,13.803
13.878,13.831,13.774,13.793
13.901,13.831,13.817,13.803
13.892,13.854,13.779,13.784
13.864,13.821,13.793,13.765
13.826,13.84,13.774,13.77
13.892,13.859,13.779,13.751
13.864,13.826,13.793,13.765
13.887,13.817,13.789,13.784
13.854,13.817,13.807,13.774
13.85,13.835,13.807,13.732
13.835,13.854,13.807,13.784
13.854,13.821,13.803,13.77
13.835,13.812,13.807,13.779
13.84,13.831,13.812,13.779
13.821,13.817,13.793,13.765
13.84,13.85,13.812,13.798
13.835,13.845,13.807,13.779
13.896,13.859,13.812,13.779
13.831,13.812,13.821,13.774
13.882,13.821,13.798,13.756
13.882,13.831,13.803,13.784
13.873,13.845,13.798,13.793
13.887,13.831,13.779,13.756
13.882,13.812,13.821,13.737
13.85,13.821,13.807,13.732
13.868,13.821,13.789,13.751
13.835,13.84,13.793,13.803
13.892,13.798,13.817,13.713
13.868,13.826,13.803,13.793
13.873,13.821,13.798,13.76
13.826,13.84,13.84,13.789
13.835,13.798,13.789,13.737
13.826,13.835,13.807,13.793
13.882,13.864,13.784,13.76
13.85,13.817,13.826,13.793
13.835,13.845,13.812,13.793
13.845,13.84,13.817,13.737
13.854,13.826,13.812,13.784
13.821,13.821,13.803,13.784
13.835,13.859,13.817,13.742
13.859,13.821,13.789,13.793
13.85,13.85,13.807,13.742
13.854,13.803,13.807,13.765
13.859,13.85,13.779,13.821
13.859,13.821,13.798,13.756
13.845,13.803,13.798,13.746
13.878,13.85,13.817,13.779
13.882,13.84,13.789,13.728
13.878,13.854,13.784,13.803
13.821,13.793,13.784,13.798
13.854,13.803,13.826,13.751
13.873,13.845,13.784,13.737
13.85,13.826,13.817,13.812
13.831,13.812,13.807,13.793
13.859,13.835,13.774,13.765
13.835,13.85,13.803,13.77
13.873,13.826,13.803,13.774
13.821,13.835,13.779,13.751
13.854,13.845,13.793,13.807
13.859,13.835,13.807,13.812
13.84,13.803,13.789,13.742
13.859,13.798,13.803,13.765
13.845,13.835,13.803,13.826
13.878,13.835,13.789,13.817
13.868,13.84,13.798,13.756
13.831,13.854,13.789,13.812
13.845,13.84,13.807,13.793
13.831,13.807,13.798,13.774
13.826,13.812,13.803,13.812
13.826,13.812,13.784,13.774
13.882,13.826,13.803,13.779
13.826,13.845,13.821,13.76
13.831,13.831,13.793,13.742
13.84,13.854,13.798,13.746
13.859,13.812,13.789,13.751
13.859,13.84,13.807,13.784
13.835,13.826,13.803,13.751
13.84,13.84,13.807,13.812
13.859,13.812,13.812,13.728
13.864,13.821,13.807,13.807
13.901,13.831,13.789,13.718
13.826,13.826,13.807,13.765
13.807,13.854,13.793,13.798
13.85,13.831,13.803,13.77
13.864,13.803,13.807,13.765
13.84,13.812,13.798,13.765
13.831,13.85,13.803,13.742
13.821,13.826,13.812,13.789
13.854,13.84,13.798,13.746
13.896,13.835,13.826,13.746
13.887,13.84,13.803,13.803
13.85,13.835,13.821,13.765
13.896,13.85,13.798,13.77
13.845,13.826,13.765,13.76
13.868,13.84,13.812,13.77
13.798,13.84,13.798,13.77
13.868,13.835,13.793,13.779
13.845,13.821,13.807,13.812
13.817,13.831,13.798,13.812
13.873,13.821,13.821,13.798
13.826,13.835,13.821,13.798
13.878,13.845,13.798,13.779
13.868,13.812,13.807,13.746
13.854,13.84,13.821,13.779
13.845,13.821,13.807,13.76
13.807,13.84,13.793,13.789
13.864,13.859,13.76,13.789
13.845,13.821,13.793,13.751
13.831,13.85,13.807,13.76
13.859,13.835,13.831,13.751
13.854,13.84,13.798,13.793
13.854,13.807,13.798,13.751
13.85,13.835,13.789,13.751
13.84,13.835,13.803,13.803
13.854,13.807,13.812,13.756
13.835,13.831,13.793,13.789
13.85,13.859,13.798,13.779
13.868,13.784,13.812,13.798
13.821,13.84,13.784,13.812
13.868,13.835,13.826,13.789
13.892,13.826,13.807,13.774
13.896,13.854,13.789,13.784
13.812,13.812,13.803,13.779
13.864,13.821,13.803,13.77
13.85,13.835,13.812,13.779
13.85,13.835,13.779,13.774
13.878,13.859,13.793,13.817
13.868,13.831,13.821,13.751
13.826,13.85,13.789,13.779
13.85,13.817,13.798,13.76
13.854,13.859,13.789,13.803
13.864,13.845,13.779,13.789
13.826,13.84,13.779,13.803
13.831,13.835,13.779,13.793
13.882,13.85,13.817,13.812
13.878,13.873,13.798,13.779
13.878,13.859,13.807,13.76
13.896,13.854,13.821,13.76
13.845,13.821,13.793,13.784
13.826,13.831,13.821,13.793
13.868,13.85,13.784,13.821
13.835,13.835,13.789,13.817
13.859,13.821,13.789,13.789
13.854,13.812,13.817,13.793
13.85,13.859,13.798,13.751
13.859,13.817,13.784,13.807
13.887,13.859,13.817,13.812
13.864,13.835,13.784,13.793
13.878,13.854,13.803,13.765
13.85,13.845,13.803,13.751
13.84,13.859,13.807,13.765
13.868,13.831,13.807,13.76
13.878,13.826,13.779,13.76
13.878,13.817,13.77,13.812
13.831,13.84,13.793,13.807
13.831,13.84,13.789,13.77
13.868,13.821,13.789,13.798
13.873,13.84,13.807,13.774
13.826,13.854,13.798,13.784
13.859,13.84,13.784,13.807
13.854,13.831,13.835,13.76
13.859,13.85,13.789,13.76
13.812,13.831,13.793,13.784
13.84,13.831,13.798,13.779
13.85,13.817,13.779,13.756
13.817,13.835,13.803,13.779
13.85,13.85,13.793,13.789
13.835,13.84,13.779,13.789
13.873,13.84,13.826,13.789
13.854,13.831,13.77,13.774
13.868,13.854,13.807,13.774
13.859,13.854,13.793,13.774
13.859,13.835,13.779,13.77
13.854,13.845,13.807,13.77
13.878,13.859,13.817,13.765
13.859,13.812,13.807,13.77
13.887,13.85,13.789,13.784
13.878,13.812,13.793,13.774
13.864,13.859,13.803,13.793
13.85,13.85,13.798,13.774
13.845,13.84,13.821,13.789
13.901,13.817,13.807,13.765
13.84,13.821,13.798,13.789
13.85,13.821,13.826,13.817
13.831,13.85,13.793,13.765
13.835,13.835,13.779,13.737
13.835,13.807,13.807,13.803
13.835,13.854,13.817,13.798
13.826,13.84,13.793,13.77
13.85,13.817,13.821,13.789
13.892,13.835,13.812,13.803
13.873,13.784,13.803,13.789
13.873,13.812,13.793,13.779
13.854,13.821,13.803,13.756
13.845,13.835,13.812,13.774
13.882,13.864,13.798,13.789
13.859,13.831,13.793,13.779
13.85,13.831,13.789,13.765
13.817,13.859,13.793,13.77
13.821,13.774,13.793,13.77
13.845,13.864,13.77,13.765
13.864,13.798,13.807,13.774
13.882,13.779,13.793,13.774
13.859,13.826,13.789,13.756
13.868,13.85,13.821,13.812
13.821,13.859,13.774,13.789
13.812,13.817,13.803,13.76
13.873,13.859,13.789,13.798
13.873,13.821,13.817,13.742
13.854,13.835,13.784,13.817
13.882,13.845,13.793,13.798
13.878,13.835,13.807,13.779
13.831,13.835,13.798,13.765
13.831,13.793,13.803,13.798
13.882,13.803,13.798,13.784
13.859,13.821,13.793,13.789
13.892,13.864,13.779,13.789
13.854,13.826,13.798,13.774
13.873,13.84,13.798,13.77
13.821,13.845,13.798,13.774
13.85,13.845,13.798,13.784
13.873,13.817,13.774,13.76
13.868,13.789,13.789,13.779
13.826,13.835,13.812,13.774
13.868,13.803,13.784,13.793
13.882,13.85,13.793,13.789
13.854,13.798,13.77,13.807
13.835,13.859,13.803,13.779
13.85,13.835,13.807,13.793
13.859,13.821,13.774,13.793
13.854,13.826,13.807,13.751
13.807,13.845,13.807,13.793
13.845,13.826,13.812,13.821
13.854,13.803,13.803,13.807
13.821,13.835,13.784,13.798
13.882,13.803,13.821,13.798
13.85,13.817,13.789,13.789
13.831,13.85,13.803,13.803
13.854,13.835,13.774,13.821
13.859,13.859,13.793,13.812
13.854,13.845,13.835,13.798
13.854,13.826,13.807,13.793
13.854,13.793,13.774,13.793
13.859,13.803,13.803,13.812
13.835,13.835,13.793,13.803
13.882,13.85,13.789,13.779
13.821,13.798,13.789,13.803
13.887,13.831,13.793,13.821
13.873,13.821,13.798,13.765
13.859,13.793,13.807,13.807
13.845,13.803,13.798,13.803
13.887,13.835,13.774,13.793
13.859,13.826,13.784,13.774
13.817,13.845,13.789,13.793
13.84,13.85,13.798,13.789
13.845,13.864,13.784,13.803
13.812,13.84,13.798,13.812
13.859,13.821,13.793,13.765
13.845,13.864,13.817,13.784
13.812,13.85,13.812,13.789
13.84,13.821,13.807,13.784
13.854,13.817,13.807,13.812
13.887,13.835,13.803,13.803
13.887,13.85,13.803,13.765
13.859,13.821,13.793,13.779
13.878,13.817,13.812,13.798
13.868,13.835,13.798,13.831
13.887,13.84,13.803,13.774
13.845,13.817,13.84,13.774
13.892,13.793,13.812,13.789
13.807,13.882,13.821,13.793
13.85,13.845,13.779,13.76
13.868,13.864,13.817,13.765
13.859,13.85,13.807,13.789
13.793,13.845,13.803,13.784
13.892,13.793,13.793,13.765
13.821,13.807,13.774,13.774
13.835,13.84,13.789,13.793
13.826,13.812,13.789,13.779
13.854,13.859,13.793,13.76
13.812,13.864,13.803,13.803
13.854,13.845,13.779,13.765
13.831,13.798,13.803,13.756
13.831,13.831,13.807,13.746
13.845,13.831,13.803,13.779
13.831,13.826,13.774,13.779
13.864,13.826,13.803,13.793
13.826,13.831,13.793,13.807
13.835,13.821,13.789,13.77
13.807,13.803,13.803,13.746
13.868,13.803,13.765,13.774
13.854,13.85,13.803,13.77
13.835,13.85,13.789,13.789
13.812,13.826,13.798,13.765
13.878,13.845,13.803,13.807
13.817,13.817,13.826,13.793
13.821,13.868,13.789,13.779
13.831,13.845,13.77,13.76
13.85,13.85,13.789,13.803
13.85,13.826,13.789,13.803
13.85,13.845,13.793,13.779
13.835,13.821,13.803,13.784
13.887,13.845,13.807,13.779
13.835,13.84,13.76,13.798
13.85,13.812,13.817,13.793
13.873,13.84,13.793,13.77
13.878,13.864,13.803,13.756
13.868,13.845,13.798,13.779
13.812,13.831,13.793,13.784
13.854,13.859,13.803,13.803
13.873,13.859,13.821,13.774
13.864,13.831,13.812,13.784
13.854,13.85,13.803,13.793
13.835,13.868,13.793,13.751
13.835,13.85,13.812,13.746
13.864,13.859,13.807,13.803
13.854,13.859,13.798,13.803
13.831,13.845,13.789,13.756
13.864,13.812,13.803,13.77
13.821,13.807,13.807,13.789
13.864,13.803,13.817,13.793
13.882,13.821,13.803,13.765
13.873,13.84,13.798,13.779
13.84,13.854,13.812,13.803
13.812,13.784,13.817,13.765
13.84,13.84,13.793,13.76
13.84,13.835,13.803,13.779
13.831,13.864,13.835,13.793
13.845,13.821,13.812,13.737
13.882,13.84,13.803,13.774
13.812,13.803,13.803,13.784
13.864,13.826,13.798,13.793
13.864,13.812,13.812,13.789
13.821,13.835,13.812,13.774
13.873,13.831,13.817,13.798
13.864,13.85,13.793,13.784
13.812,13.807,13.812,13.803
13.845,13.826,13.798,13.774
13.826,13.807,13.798,13.784
13.817,13.85,13.793,13.774
13.826,13.85,13.774,13.793
13.821,13.85,13.807,13.793
13.85,13.803,13.803,13.798
13.817,13.831,13.803,13.77
13.845,13.831,13.784,13.779
13.85,13.803,13.793,13.756
13.817,13.835,13.812,13.756
13.826,13.85,13.821,13.774
13.835,13.854,13.821,13.774
13.821,13.84,13.807,13.774
13.882,13.831,13.803,13.779
13.859,13.826,13.793,13.751
13.85,13.798,13.807,13.803
13.854,13.831,13.821,13.798
13.84,13.864,13.803,13.784
13.864,13.859,13.807,13.789
13.882,13.859,13.812,13.798
13.859,13.831,13.793,13.812
13.85,13.84,13.779,13.807
13.887,13.845,13.803,13.793
13.821,13.845,13.812,13.798
13.859,13.845,13.826,13.812
13.868,13.878,13.798,13.793
13.878,13.845,13.793,13.756
13.826,13.835,13.798,13.756
13.868,13.817,13.793,13.751
13.873,13.817,13.807,13.77
13.896,13.835,13.821,13.779
13.85,13.854,13.817,13.779
13.854,13.859,13.812,13.812
13.845,13.859,13.817,13.789
