A0,A1,A2,A3
32.821,32.755,32.77,32.709
32.798,32.746,32.788,32.713
32.826,32.755,32.788,32.741
32.755,32.746,32.751,32.727
32.798,32.774,32.741,32.671
32.77,32.737,32.713,32.727
32.751,32.76,32.69,32.718
32.746,32.751,32.676,32.648
32.774,32.723,32.727,32.69
32.798,32.732,32.723,32.685
32.798,32.732,32.737,32.671
32.77,32.741,32.709,32.704
32.784,32.76,32.709,32.746
32.821,32.77,32.746,32.699
32.807,32.751,32.69,32.709
32.765,32.751,32.713,32.741
32.784,32.755,32.709,32.755
32.774,32.727,32.723,32.793
32.77,32.727,32.732,32.732
32.741,32.746,32.713,32.737
32.774,32.727,32.718,32.648
32.76,32.746,32.723,32.68
32.807,32.76,32.657,32.727
32.793,32.737,32.718,32.732
32.793,32.788,32.77,32.699
32.788,32.76,32.699,32.723
32.793,32.704,32.727,32.704
32.779,32.755,32.727,32.746
32.788,32.737,32.741,32.737
32.798,32.746,32.718,32.737
32.751,32.732,32.723,32.718
32.798,32.741,32.737,32.732
32.793,32.737,32.741,32.699
32.798,32.709,32.723,32.69
32.812,32.737,32.746,32.69
32.835,32.774,32.774,32.713
32.741,32.755,32.737,32.732
32.788,32.741,32.709,32.746
32.77,32.746,32.741,32.699
32.76,32.76,32.732,32.727
32.774,32.755,32.737,32.741
32.83,32.774,32.732,32.723
32.802,32.76,32.732,32.704
32.784,32.737,32.718,32.676
32.816,32.741,32.713,32.732
32.798,32.77,32.741,32.69
32.873,32.784,32.788,32.723
32.863,32.788,32.812,32.723
32.802,32.741,32.751,32.676
32.77,32.788,32.741,32.784
32.784,32.741,32.765,32.765
32.826,32.779,32.76,32.68
32.784,32.76,32.788,32.765
32.821,32.737,32.751,32.699
32.793,32.718,32.699,32.69
32.755,32.746,32.727,32.676
32.76,32.755,32.732,32.666
32.788,32.798,32.765,32.737
32.774,32.774,32.718,32.751
32.802,32.732,32.746,32.709
32.755,32.723,32.76,32.774
32.798,32.713,32.732,32.732
32.774,32.727,32.732,32.727
32.746,32.723,32.727,32.746
32.807,32.718,32.751,32.765
32.788,32.741,32.732,32.685
32.793,32.718,32.713,32.723
32.779,32.732,32.699,32.685
32.765,32.784,32.732,32.666
32.873,32.784,32.76,32.741
32.807,32.788,32.83,32.784
32.887,32.812,32.826,32.77
32.802,32.821,32.83,32.741
32.802,32.774,32.821,32.746
32.793,32.741,32.732,32.694
32.788,32.774,32.77,32.699
32.798,32.784,32.779,32.699
32.755,32.77,32.732,32.643
32.737,32.76,32.718,32.704
32.793,32.807,32.774,32.709
