A0,A1,A2,A3
18.645,18.579,18.518,18.612
18.649,18.56,18.537,18.527
18.673,18.532,18.523,18.584
18.659,18.541,18.504,18.584
18.659,18.504,18.48,18.57
18.64,18.56,18.471,18.56
18.649,18.556,18.471,18.527
18.649,18.513,18.495,18.565
18.626,18.518,18.471,18.537
18.654,18.551,18.476,18.556
18.645,18.518,18.527,18.57
18.635,18.541,18.504,18.56
18.635,18.56,18.537,18.565
18.654,18.518,18.527,18.537
18.654,18.495,18.509,18.57
18.645,18.546,18.48,18.56
18.621,18.565,18.48,18.57
18.631,18.537,18.48,18.546
18.621,18.556,18.466,18.56
18.64,18.527,18.504,18.574
18.631,18.513,18.499,18.56
18.621,18.537,18.48,18.56
18.64,18.556,18.499,18.57
18.663,18.518,18.499,18.584
18.668,18.546,18.504,18.565
18.64,18.579,18.48,18.565
18.626,18.513,18.49,18.556
18.64,18.523,18.513,18.57
18.64,18.537,18.49,18.532
18.621,18.527,18.476,18.56
18.654,18.532,18.537,18.579
18.621,18.513,18.513,18.523
