A0,A1,A2,A3
9.608,9.598,9.514,9.575
9.598,9.608,9.495,9.58
9.575,9.58,9.523,9.598
9.617,9.627,9.505,9.608
9.622,9.537,9.519,9.566
9.655,9.556,9.537,9.608
9.603,9.575,9.5,9.613
9.519,9.547,9.523,9.613
9.57,9.505,9.533,9.57
9.608,9.495,9.566,9.57
9.566,9.561,9.547,9.58
9.603,9.542,9.556,9.594
9.594,9.537,9.57,9.561
9.584,9.505,9.556,9.594
9.575,9.495,9.523,9.589
9.608,9.547,9.537,9.58
9.58,9.57,9.528,9.598
9.542,9.519,9.514,9.594
9.556,9.584,9.509,9.561
9.495,9.5,9.528,9.542
9.537,9.584,9.537,9.584
9.57,9.566,9.523,9.603
9.556,9.505,9.514,9.547
9.594,9.552,9.523,9.594
9.584,9.537,9.556,9.603
9.598,9.542,9.505,9.594
9.575,9.523,9.542,9.603
9.608,9.523,9.533,9.57
9.589,9.533,9.509,9.613
9.542,9.509,9.542,9.575
9.552,9.528,9.547,9.65
9.641,9.58,9.519,9.622
9.65,9.58,9.528,9.622
9.556,9.523,9.547,9.575
9.594,9.58,9.514,9.575
9.58,9.537,9.533,9.58
9.542,9.523,9.556,9.575
9.566,9.561,9.509,9.608
9.645,9.561,9.528,9.598
9.561,9.552,9.523,9.608
9.589,9.495,9.547,9.603
9.561,9.509,9.542,9.589
9.594,9.495,9.519,9.552
9.542,9.528,9.505,9.57
9.523,9.495,9.509,9.561
9.584,9.514,9.556,9.58
9.552,9.514,9.509,9.598
9.57,9.58,9.523,9.556
9.617,9.566,9.514,9.575
9.631,9.589,9.533,9.631
9.613,9.57,9.5,9.589
9.617,9.613,9.547,9.556
9.608,9.603,9.533,9.598
9.584,9.552,9.486,9.566
9.622,9.523,9.537,9.566
9.575,9.552,9.481,9.58
9.589,9.584,9.505,9.584
9.58,9.495,9.5,9.594
9.533,9.584,9.509,9.589
9.603,9.547,9.561,9.575
9.594,9.575,9.514,9.608
9.556,9.566,9.514,9.594
9.58,9.566,9.476,9.552
9.608,9.57,9.481,9.533
9.598,9.556,9.495,9.613
9.575,9.594,9.542,9.57
9.584,9.528,9.486,9.608
9.589,9.547,9.523,9.575
9.622,9.57,9.533,9.57
