A0,A1,A2,A3
11.159,11.061,11.018,11.032
11.079,10.995,11.032,11.014
11.075,11.009,11.018,11.009
11.136,11.042,11.032,11.004
11.14,11.023,11.079,10.971
11.093,11.018,11.009,11.009
11.093,11.018,11.014,10.986
11.14,11.014,11.014,10.953
11.122,11.028,11.042,11.018
11.183,11.075,11.037,11.009
11.112,11.042,11.061,11.004
11.145,11.009,11.061,11.004
11.108,11.0,11.018,11.0
11.103,11.009,11.028,11.004
11.108,11.023,11.018,11.0
11.098,10.971,11.037,11.0
11.117,11.004,11.0,11.032
11.108,11.037,11.042,11.023
11.136,11.028,11.065,11.018
11.098,11.023,11.023,11.0
11.117,11.032,11.047,11.014
11.093,11.009,11.018,11.018
11.136,11.023,11.004,11.032
11.136,11.0,11.004,10.986
11.122,10.943,10.99,11.004
11.131,11.065,11.028,11.004
11.131,11.042,11.004,11.018
11.122,11.004,11.018,11.009
11.112,11.023,11.023,11.004
11.126,11.014,11.032,10.995
11.075,11.032,11.028,10.99
11.103,11.032,11.009,10.981
11.112,11.056,11.042,11.0
11.098,11.023,11.061,10.986
11.126,11.037,11.023,10.995
11.108,11.023,11.028,10.99
11.122,11.009,11.037,10.99
11.098,11.014,11.0,11.004
11.093,10.995,11.004,10.976
11.103,11.047,11.032,10.971
11.112,11.028,11.042,10.971
11.075,11.056,11.042,10.981
11.07,11.037,11.037,11.032
11.089,11.018,11.018,10.981
11.108,11.009,11.023,11.014
11.098,11.065,11.028,10.99
11.112,11.018,11.042,11.0
11.126,11.051,11.042,11.0
11.136,11.028,11.032,11.018
11.112,11.047,11.042,11.0
11.103,11.023,11.009,10.976
11.103,11.037,11.018,10.976
11.098,11.037,11.047,11.0
11.079,11.018,11.004,10.976
11.084,11.018,11.004,11.004
11.075,11.028,11.023,10.99
11.108,10.971,11.042,11.004
11.108,11.07,11.009,11.004
11.108,11.042,11.018,11.004
11.089,11.014,11.004,11.004
11.103,11.037,11.018,10.986
11.089,11.009,11.009,10.99
11.112,11.014,11.023,10.99
